# creditos.dat - donde guarda cada juego su contador de creditos.
# Las lineas sin marca las comprobo buscar_creditos.sh ejecutando el juego:
# se le escriben creditos y se comprueba que el juego los gasta al pulsar START.
# Las marcadas (cheat) vienen de la coleccion de cheats de MAME y NO estan
# comprobadas: se leen solo si pasan la prueba de las monedas, y nunca se
# escribe en ellas. Varias direcciones con "+" son copias del mismo contador.
acrobatm @:maincpu,program,80075   # (cheat)
acrobatmbl @:maincpu,program,80075   # (cheat)
actfancr @:maincpu,program,1f2010   # (cheat)
actfancr1 @:maincpu,program,1f2010   # (cheat)
actfancr2 @:maincpu,program,1f2010   # (cheat)
actfancrj @:maincpu,program,1f2010   # (cheat)
actionhw @:maincpu,program,ff1009   # (cheat)
ad2083 @:maincpu,program,4002   # (cheat)
aerfboo2 @:maincpu,program,c8b90   # (cheat)
aerfboot @:maincpu,program,c8b90   # (cheat)
aeroblst @:maincpu,program,ffe067   # (cheat)
aeroboto @:maincpu,program,1ac   # (cheat)
aerofgt @:maincpu,program,ff8b94   # (cheat)
aerofgtb @:maincpu,program,c8b90   # (cheat)
aerofgtc @:maincpu,program,c8b90   # (cheat)
aerofgts @:maincpu,program,af5fc   # (cheat)
aerofgtsg @:maincpu,program,af548   # (cheat)
aerofgtst @:maincpu,program,af5c0   # (cheat)
aerolitol @:maincpu,program,70   # (cheat)
aerolitos @:maincpu,program,70   # (cheat)
afighter @:maincpu,program,c70000   # (cheat)
afightera @:maincpu,program,c70000   # (cheat)
afighterb @:maincpu,program,c70000   # (cheat)
afighterc @:maincpu,program,c70000   # (cheat)
afighterd @:maincpu,program,c70000   # (cheat)
afightere @:maincpu,program,ff0000   # (cheat)
afighterf @:maincpu,program,ff0000   # (cheat)
afighterg @:maincpu,program,ff0000   # (cheat)
afighterh @:maincpu,program,ff0000   # (cheat)
agallet @:maincpu,program,1001cd   # (cheat)
agalleta @:maincpu,program,1001cd   # (cheat)
agalletah @:maincpu,program,1001cd   # (cheat)
agalletaj @:maincpu,program,1001cd   # (cheat)
agalletak @:maincpu,program,1001cd   # (cheat)
agalletat @:maincpu,program,1001cd   # (cheat)
agalletau @:maincpu,program,1001cd   # (cheat)
agalleth @:maincpu,program,1001cd   # (cheat)
agalletj @:maincpu,program,1001cd   # (cheat)
agalletk @:maincpu,program,1001cd   # (cheat)
agallett @:maincpu,program,1001cd   # (cheat)
agalletu @:maincpu,program,1001cd   # (cheat)
agentx1 @:maincpu,program,a3   # (cheat)
agentx2 @:maincpu,program,ad   # (cheat)
agentx3 @:maincpu,program,b2   # (cheat)
agentx4 @:maincpu,program,b3   # (cheat)
agress @:maincpu,program,1d402f   # (cheat)
agressb @:maincpu,program,1d402f   # (cheat)
ainferno @:maincpu,program,c0011   # (cheat)
ainfernoj @:maincpu,program,c0011   # (cheat)
ainfernou @:maincpu,program,c0011   # (cheat)
airass @:maincpu,program,e0037   # (cheat)
airattck @:maincpu,program,b9003   # (cheat)
airattcka @:maincpu,program,b9003   # (cheat)
airbustr @:maincpu,program,ffe067   # (cheat)
airbustrb @:master,program,f000   # (cheat)
airbustrj @:master,program,f000   # (cheat)
